Team,Points,Goal_Diff,Win_Rate
Chelsea,91,50,0.7631578947368421
Man United,83,38,0.6578947368421053
Liverpool,82,32,0.6578947368421053
Arsenal,67,37,0.5263157894736842
Tottenham,65,15,0.47368421052631576
Blackburn,63,9,0.5
Newcastle,58,5,0.4473684210526316
Bolton,56,8,0.39473684210526316
West Ham,55,-3,0.42105263157894735
Wigan,51,-7,0.39473684210526316
Everton,50,-15,0.3684210526315789
Fulham,48,-10,0.3684210526315789
Charlton,47,-14,0.34210526315789475
Middlesbrough,45,-10,0.3157894736842105
Man City,43,-5,0.34210526315789475
Aston Villa,42,-13,0.2631578947368421
Portsmouth,38,-25,0.2631578947368421
Birmingham,34,-22,0.21052631578947367
West Brom,30,-27,0.18421052631578946
Sunderland,15,-43,0.07894736842105263
