Date,Tottenham,Man United,Everton,Chelsea,Liverpool,West Ham,Leicester,Brighton,Man City,Brentford,Aston Villa,Watford,Leeds,Southampton,Crystal Palace,Burnley,Newcastle,Arsenal,Wolves,Norwich City
2021-09-07,9,7,7,7,7,7,6,6,6,5,4,3,2,2,2,1,1,0,0,0
2021-09-13,9,10,10,10,7,7,9,6,6,8,4,6,5,5,5,1,1,3,0,0
2021-09-19,12,10,10,10,10,10,12,6,9,8,7,6,5,5,5,4,4,3,3,3
2021-09-27,12,13,13,10,13,10,15,6,12,8,7,9,8,8,8,4,4,6,3,3
2021-10-03,15,16,13,13,16,13,18,6,12,8,7,9,11,8,8,7,4,9,6,3
2021-10-18,18,16,16,13,19,13,21,6,15,11,10,9,11,11,8,7,4,12,6,6
2021-10-24,18,19,19,16,19,16,21,6,18,14,10,9,14,14,11,7,4,15,6,6
2021-11-01,21,19,19,19,22,16,24,6,21,14,13,12,14,14,11,10,4,15,9,9
2021-11-06,21,22,22,22,25,16,24,9,21,17,13,12,17,17,14,10,4,18,9,9
2021-11-20,24,25,22,22,28,16,27,9,24,17,16,12,17,17,14,13,7,18,12,12
2021-11-27,27,25,22,25,31,16,30,12,27,20,16,12,17,17,17,13,7,21,12,15
2021-12-01,30,28,22,28,34,19,33,12,30,20,16,12,20,17,17,13,10,21,15,15
2021-12-04,33,31,25,28,37,22,36,12,33,20,16,12,23,20,17,13,13,21,15,15
2021-12-11,36,31,28,31,40,25,39,12,36,23,16,12,23,20,17,13,13,24,15,18
2021-12-15,36,31,28,34,43,25,42,15,39,26,16,12,23,20,20,16,13,27,15,21
2021-12-18,39,34,31,37,43,28,42,15,42,26,19,15,23,23,20,16,13,30,15,21
2021-12-26,42,37,34,40,46,31,42,18,45,26,19,15,23,23,20,16,13,33,18,21
2021-12-28,45,40,37,43,46,34,45,18,45,29,19,15,26,23,23,16,13,36,18,21
2022-01-01,48,43,40,46,46,37,48,18,48,32,19,15,29,26,23,16,13,36,18,21
2022-01-15,51,46,43,46,49,40,51,21,51,32,19,15,29,26,23,16,16,36,21,21
2022-01-22,51,49,46,49,52,40,54,21,54,35,19,18,32,26,23,16,16,39,21,21
2022-02-09,54,52,46,52,55,43,54,21,57,35,22,18,32,26,23,16,19,39,24,24
2022-02-12,57,55,49,55,58,43,57,21,60,38,22,21,32,26,23,16,22,39,24,24
2022-02-19,57,55,49,58,61,46,57,24,63,38,25,21,35,29,23,16,22,42,27,24
2022-02-26,57,58,52,61,61,49,57,27,63,41,25,21,38,32,26,16,22,45,27,24
2022-03-05,60,58,52,64,64,49,60,27,66,41,28,24,38,32,26,16,25,45,30,27
2022-03-12,60,61,55,67,67,52,60,27,69,44,28,24,41,35,26,16,25,48,30,27
2022-03-19,63,61,55,70,70,52,63,27,72,44,31,27,41,35,26,19,28,48,33,27
2022-04-02,66,64,55,73,73,55,63,30,75,44,31,27,44,35,29,19,28,48,36,27
2022-04-09,66,64,58,76,73,55,66,30,78,47,34,30,44,35,29,19,31,51,36,30
2022-04-16,69,67,61,79,76,58,69,30,81,47,34,33,44,38,29,19,31,51,36,30
2022-04-23,72,67,61,82,79,58,72,33,84,47,34,33,44,38,32,22,31,54,36,33
2022-04-30,75,70,64,82,82,61,72,33,87,47,37,36,44,41,32,22,31,54,39,33
2022-05-07,75,73,64,85,85,64,75,33,90,50,37,36,44,41,35,25,31,57,39,33
2022-05-15,78,76,67,85,88,67,78,33,90,50,40,36,47,41,35,25,34,57,42,33
2022-05-22,81,79,67,88,91,67,81,36,93,53,40,36,47,41,35,28,34,60,42,33
